Date,Nestle_PS,Novartis_N,UBS_N,Roche_Holding
27.02.09,38.34,42.68,11.06,133
31.03.09,38.48,43.08,10.7,156.2
30.04.09,37.36,43.4,15.95,144.5
29.05.09,38.7,42.5,15.93,145.6
30.06.09,40.92,44.04,13.29,147.7
31.07.09,43.98,48.94,15.61,168.5
31.08.09,43.98,49.08,19.54,168.3
30.09.09,44.16,51.85,18.97,167.5
30.10.09,47.82,53.75,17.3,164.7
30.11.09,47.48,55.75,15.58,164.3
31.12.09,50.2,56.5,16.05,175.8
29.01.10,50.5,56.85,14.03,178.5
26.02.10,53.45,59.75,14.81,179.4
31.03.10,54,56.95,17.14,171
30.04.10,52.85,55.05,16.87,170.1
31.05.10,52.4,52.5,15.53,158.7
30.06.10,52.2,52.6,14.46,149.1
30.07.10,51.5,50.55,17.8,135.5
31.08.10,52.6,53.35,17.18,138
30.09.10,52.35,56.35,16.68,134.2
29.10.10,53.9,57.05,16.66,144.5
30.11.10,54.55,53.25,15.03,137.8
31.12.10,54.75,54.95,15.35,137
31.01.11,51.05,52.55,16.93,143.6
28.02.11,52.6,52.1,18.45,140.1
31.03.11,52.65,49.82,16.48,131.2
29.04.11,53.7,51.35,17.29,140.3
31.05.11,54.75,55,16.34,150
30.06.11,52.25,51.5,15.33,140.7
29.07.11,50.25,48.5,13.11,141.6
31.08.11,49.91,46.99,11.67,141.1
30.09.11,50.1,50.8,10.54,147.1
31.10.11,50.9,49.61,11.21,144.7
30.11.11,51.15,49.21,11.18,145
30.12.11,54,53.7,11.18,159.2
31.01.12,52.75,49.8,12.53,155.8
29.02.12,55.3,49.29,12.65,157.5
30.03.12,56.8,49.96,12.65,157.1
30.04.12,55.6,50.05,11.33,165.8
31.05.12,55.05,50.45,10.95,151.6
29.06.12,56.55,52.9,11.05,163.6
31.07.12,60.05,57.3,10.29,173.3
31.08.12,59.35,56.25,10.68,173.8
28.09.12,59.3,57.55,11.45,175.7
31.10.12,59.1,56.05,13.96,179.1
30.11.12,60.65,57.35,14.5,182.4
31.12.12,59.6,57.45,14.27,184
31.01.13,63.9,62,15.78,201.4
28.02.13,65.5,63.65,14.83,214.7
29.03.13,68.65,67.45,14.55,221
30.04.13,66.4,69.05,16.6,232.4
31.05.13,63.45,69,17.01,239.1
28.06.13,61.95,67.1,16.08,235
31.07.13,62.7,66.6,18.23,228
30.08.13,61.05,67.85,18.02,232.1
30.09.13,63.25,69.5,18.5,243.9
31.10.13,65.5,70.45,17.56,251.2
29.11.13,66.2,71.65,17.28,252.7
31.12.13,65.3,71.2,16.92,249.2
31.01.14,65.8,71.8,17.99,249.3
28.02.14,66.6,73.45,18.87,271.4
31.03.14,66.55,75,18.26,265
30.04.14,67.95,76.3,18.4,258
30.05.14,70.25,80.3,17.98,263.5
30.06.14,68.7,80.3,16.27,264.5
31.07.14,67.55,79.55,15.67,264.7
29.08.14,71.25,82.35,16.46,267.7
30.09.14,70.25,90.15,16.66,283.1
31.10.14,70.4,89.3,16.7,283.7
28.11.14,72.55,93.5,17.35,289.4
31.12.14,72.95,92.35,17.09,269.9
30.01.15,70.45,90.15,15.39,248.6
27.02.15,74.4,97.45,16.75,258.8
31.03.15,73.4,96.15,18.32,268.1
30.04.15,72.9,96.65,18.86,269.4
29.05.15,72.9,96.5,20.22,276.2
30.06.15,67.5,92.15,19.83,262
31.07.15,73.2,100.4,22.25,279.1
31.08.15,71.3,94.7,20.03,264
30.09.15,73.25,89.4,18.01,257
30.10.15,75.6,89.85,19.78,268.3
30.11.15,76.35,87.95,19.75,275.5
31.12.15,74.55,86.8,19.52,276.4
29.01.16,75.2,78.5,16.83,263.9
29.02.16,70.1,71.65,15.34,257
31.03.16,71.85,69.7,15.49,236.7
29.04.16,71.5,73.2,16.6,242.5
31.05.16,73.4,78.9,15.36,260.9
30.06.16,75.15,80.15,12.57,256.1
29.07.16,77.7,80.3,13.35,247.5
31.08.16,78.3,77.4,14.22,239.8
30.09.16,76.55,76.4,13.23,241
31.10.16,71.75,70.4,14,227.5
30.11.16,68.4,70.25,16.17,226.7
30.12.16,73.05,74.1,15.95,232.6
31.01.17,72.3,72.45,15.97,233
28.02.17,74.25,78.4,15.47,244.7
31.03.17,76.85,74.35,16.03,255.8
28.04.17,76.65,76.55,17,260.3
31.05.17,82.65,79.3,15.4,265.8
30.06.17,83.45,79.8,16.24,244.2
31.07.17,81.7,82.4,16.82,244.9
31.08.17,81.35,80.9,15.8,243.5
29.09.17,81.1,82.9,16.55,247.2
31.10.17,83.9,82.2,16.98,230.5
30.11.17,84.25,84.2,16.99,248.2
29.12.17,83.8,82.4,17.94,246.5
29.01.18,80.34,76.836,19.205,230.5
28.02.18,75.28,69.977,18.07,219.3
30.03.18,75.62,68.297,16.795,219.1
30.04.18,76.68,67.554,16.605,218.55
31.05.18,76.1,65.946,15.24,216.15
29.06.18,76.9,66.547,15.325,220.55
31.07.18,81.36,73.548,16.145,243.5
31.08.18,81.5,71.974,15.43,242.35
28.09.18,81.82,74.609,15.5,237.75
31.10.18,83.5,76.341,13.415,234.3
30.11.18,85.2,79.877,13.645,254.2
31.12.18,79.8,74.29,12.235,243.4
31.01.19,85.84,75.723,12.975,256.6
28.02.19,90.36,80.478,12.7,277.3
29.03.19,94.9,84.669,12.07,274.35
30.04.19,97.46,82.6,13.72,266.5
31.05.19,98.35,86.92,11.66,264
28.06.19,101.06,89.2,11.6,274.65
31.07.19,105.22,91.54,11.39,268
